Symbol
ABB.NS
ACC.NS
APLAPOLLO.NS
AUBANK.NS
AARTIIND.NS
ADANIENSOL.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ATGL.NS
ABCAPITAL.NS
ABFRL.NS
ALKEM.NS
AMBUJACEM.NS
ANGELONE.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
AUROPHARMA.NS
DMART.NS
AXISBANK.NS
BSOFT.NS
BSE.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BALKRISIND.NS
BANDHANBNK.NS
BANKBARODA.NS
BANKINDIA.NS
BERGEPAINT.NS
BEL.NS
BHARATFORG.NS
BHEL.NS
BPCL.NS
BHARTIARTL.NS
BIOCON.NS
BOSCHLTD.NS
BRITANNIA.NS
CESC.NS
CGPOWER.NS
CANBK.NS
CDSL.NS
CHAMBLFERT.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CAMS.NS
CONCOR.NS
CROMPTON.NS
CUMMINSIND.NS
CYIENT.NS
DLF.NS
DABUR.NS
DALBHARAT.NS
DEEPAKNTR.NS
DELHIVERY.NS
DIVISLAB.NS
DIXON.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
EXIDEIND.NS
NYKAA.NS
GAIL.NS
GMRAIRPORT.NS
GLENMARK.NS
GODREJCP.NS
GODREJPROP.NS
GRANULES.NS
GRASIM.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HFCL.NS
HAVELLS.NS
HEROMOTOCO.NS
HINDALCO.NS
HAL.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
HUDCO.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDFCFIRSTB.NS
IIFL.NS
IRB.NS
ITC.NS
INDIANB.NS
IEX.NS
IOC.NS
IRCTC.NS
IRFC.NS
IREDA.NS
IGL.NS
INDUSTOWER.NS
INDUSINDBK.NS
NAUKRI.NS
INFY.NS
INDIGO.NS
JKCEMENT.NS
JSWENERGY.NS
JSWSTEEL.NS
JSL.NS
JINDALSTEL.NS
JIOFIN.NS
JUBLFOOD.NS
KEI.NS
KPITTECH.NS
KALYANKJIL.NS
KOTAKBANK.NS
LTF.NS
LTTS.NS
LICHSGFIN.NS
LTIM.NS
LT.NS
LAURUSLABS.NS
LICI.NS
LUPIN.NS
MRF.NS
LODHA.NS
MGL.NS
M&MFIN.NS
M&M.NS
MANAPPURAM.NS
MARICO.NS
MARUTI.NS
MFSL.NS
MAXHEALTH.NS
MPHASIS.NS
MCX.NS
MUTHOOTFIN.NS
NBCC.NS
NCC.NS
NHPC.NS
NMDC.NS
NTPC.NS
NATIONALUM.NS
NESTLEIND.NS
OBEROIRLTY.NS
ONGC.NS
OIL.NS
PAYTM.NS
OFSS.NS
POLICYBZR.NS
PIIND.NS
PAGEIND.NS
PATANJALI.NS
PERSISTENT.NS
PETRONET.NS
PIDILITIND.NS
PEL.NS
POLYCAB.NS
POONAWALLA.NS
PFC.NS
POWERGRID.NS
PRESTIGE.NS
PNB.NS
RBLBANK.NS
RECLTD.NS
RELIANCE.NS
SBICARD.NS
SBILIFE.NS
SHREECEM.NS
SJVN.NS
SRF.NS
MOTHERSON.NS
SHRIRAMFIN.NS
SIEMENS.NS
SOLARINDS.NS
SONACOMS.NS
SBIN.NS
SAIL.NS
SUNPHARMA.NS
SUPREMEIND.NS
SYNGENE.NS
TATACONSUM.NS
TITAGARH.NS
TVSMOTOR.NS
TATACHEM.NS
TATACOMM.NS
TCS.NS
TATAELXSI.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TATATECH.NS
TECHM.NS
FEDERALBNK.NS
INDHOTEL.NS
PHOENIXLTD.NS
RAMCOCEM.NS
TITAN.NS
TORNTPHARM.NS
TORNTPOWER.NS
TRENT.NS
TIINDIA.NS
UPL.NS
ULTRACEMCO.NS
UNIONBANK.NS
UNITDSPR.NS
VBL.NS
VEDL.NS
IDEA.NS
VOLTAS.NS
WIPRO.NS
YESBANK.NS
ZOMATO.NS
ZYDUSLIFE.NS
